"player_name","team","adp","adp_rank","proj_ip","proj_w","proj_sv","proj_hld","proj_k","proj_h","proj_bb","proj_hbp","proj_hr","proj_era","proj_whip","sp_skillz_2025_score_stabilized","sp_skillz_2025_rank_stabilized","sp_skillz_2026_score_stabilized","sp_skillz_2026_rank_stabilized","eno_rank","ck_rank","ds_rank","ottoneu_fg_pts"
"Janson Junk","MIA",600.77,210,85,4,0,1,62,89,20,4,11,4.39,1.28,-4.707,130,-4.556,122,209,,,318.3
"Chase Petty","CIN",600.9,211,47,2,0,1,35,49,21,2,7,5.15,1.49,-2.72,95,-2.717,97,,,,139.3
"Brandon Walter","HOU",,,4.6263,0,0,0,4,4,1,0,1,3.86,1.16,6.123,27,6.122,29,,,,16.5
"Tylor Megill","NYM",,,4.6292,0,0,0,5,4,2,0,1,3.67,1.31,5.077,29,5.072,33,,,,15.6
"José De León",,,,3.3474,0,0,0,3,4,2,0,1,5.1,1.59,1.496,51,1.495,52,,,,2.1
"Luis Ortiz","CLE",,,4.679,0,0,0,4,4,2,0,1,4.08,1.33,-0.519,68,-0.509,70,,,,13.9
"Ronel Blanco","HOU",,,17,1,0,1,16,16,7,1,3,4.55,1.35,-0.893,70,-0.895,78,,,,59.3
"Hayden Wesneski","HOU",,,29,2,0,1,27,27,9,1,4,4.21,1.25,-1.15,72,-1.144,80,,,,123.2
"Kai-Wei Teng","HOU",,,53,3,0,1,57,48,23,3,7,3.99,1.33,-1.649,84,-1.52,83,157,,,221.3
"Tony Gonsolin",,,,4.6402,0,0,0,4,4,2,0,1,4.59,1.32,-1.641,83,-1.639,84,,,,13.6
"Frankie Montas",,,,4.3999,0,0,0,4,4,2,0,1,4.54,1.45,-1.789,85,-1.779,86,,,,11.9
"Luis García","NYM",,,60,4,0,13,56,54,26,3,6,3.68,1.32,-1.991,87,-1.99,87,,,,306.8
"Yu Darvish","SDP",,,5.0788,0,0,0,5,5,2,0,1,4.1,1.22,-2.729,96,-2.717,96,,,,16.3
"AJ Smith-Shawver","ATL",,,8,0,0,1,8,7,3,0,1,4.19,1.3,-3.134,100,-3.126,103,,,,39.7
"Jackson Jobe","DET",,,4.4477,0,0,0,4,4,2,0,1,4.39,1.34,-3.53,105,-3.511,107,,,,12.2
"Hunter Dobbins","STL",,,85,4,0,1,64,89,31,4,11,4.63,1.4,-4.11,119,-4.55,121,179,,,289.3
"David Festa","MIN",,,48,3,0,1,49,44,17,2,6,4.05,1.28,-4.207,122,-4.725,124,170,,,212
"Nabil Crismatt","TEX",,,3.969,0,0,0,2,5,1,0,1,5.41,1.43,-5.174,137,-5.165,133,,,,5.1
"Easton Lucas",,,,2.8403,0,0,0,2,3,1,0,0,4.51,1.36,-5.767,145,-5.179,134,,,,14.2
"Ryan Gusto","MIA",,,56,3,0,1,48,57,20,3,8,4.55,1.36,-4.646,129,-5.45,139,211,,,198.8
"Caden Dana","LAA",,,87,5,0,0,79,85,38,4,15,4.89,1.42,-5.265,139,-5.548,141,182,,,270.3
"Gunnar Hoglund","ATH",,,56,3,0,1,42,59,19,3,9,5.07,1.39,-5.833,146,-5.603,142,,,,172.3
"Tanner Houck","BOS",,,5.0859,0,0,0,4,5,2,0,1,4.33,1.41,-5.981,147,-5.963,148,,,,14.3
"Clayton Kershaw",,,,4.8242,0,0,0,4,5,2,0,1,4.55,1.26,-6.044,149,-6.011,149,,,,12.4
"Bruce Zimmermann","STL",,,4.4528,0,0,0,3,5,1,0,1,5.05,1.39,-6.456,157,-6.443,154,,,,10.7
"Kyle Freeland","COL",,,161,7,0,0,116,187,45,7,27,5.37,1.44,-6.192,152,-6.485,155,244,,,449.1
"Carson Spiers","CIN",,,3.9406,0,0,0,3,4,2,0,1,5.05,1.44,-6.273,154,-6.559,156,,,,6.5
"Mitch Farris","LAA",,,8,0,0,0,7,8,4,0,1,5,1.45,-6.614,160,-6.609,157,,,,28.1
"Victor Mederos","LAA",,,16,1,0,1,11,17,7,1,2,5.13,1.48,-6.848,162,-6.834,161,,,,51.6
"Ryan Feltner","COL",,,102,5,0,1,79,114,44,5,15,5.37,1.55,-7.416,168,-6.838,162,,,,288.9
"Mason Barnett","ATH",,,27,1,0,1,23,27,12,1,4,4.92,1.45,-6.909,163,-6.894,163,,,,91.4
"Nestor Cortes",,,,5.1033,0,0,0,4,5,2,0,1,4.47,1.24,-6.214,153,-6.924,164,159,,,14.5
"Yoendrys Gómez","TBR",,,55,3,0,4,55,49,23,3,8,4.16,1.32,-6.662,161,-7.177,166,242,,,229.2
"Andrew Alvarez","WSN",,,53,2,0,1,36,58,20,3,7,5,1.46,-7.484,173,-7.475,171,,,,162.3
"Landon Knack","LAD",,,21,1,0,1,18,21,8,1,4,5.08,1.36,-7.927,178,-7.551,173,,,,64.6
"Brandon Young","BAL",,,25,1,0,1,22,25,8,1,4,4.56,1.32,-8.071,180,-7.633,174,240,,,91.8
"Rich Hill",,,,4.4735,0,0,0,3,5,2,0,1,5.65,1.56,-7.837,176,-7.82,179,,,,7.8
"McCade Brown","COL",,,24,1,0,1,23,25,12,1,4,5.29,1.55,-8.372,184,-8.354,182,,,,74.4
"Luis F. Castillo",,,,2.9125,0,0,0,3,3,1,0,0,4.81,1.54,-7.417,169,-8.524,184,,,,16.8
"Colton Gordon","HOU",,,26,1,0,1,21,26,7,1,4,4.62,1.28,-9.231,194,-8.591,185,222,,,97.6
"Connor Gillispie","PHI",,,4.0785,0,0,0,3,4,2,0,1,5.61,1.47,-8.169,182,-9.104,190,,,,7.5
"Bowden Francis","TOR",,,3.9229,0,0,0,3,4,1,0,1,4.64,1.27,-9.044,189,-9.119,191,,,,9.3
"Kyle Gibson",,,,5.2616,0,0,0,4,5,2,0,1,4.65,1.38,-9.171,191,-9.159,193,,,,15.6
"Wade Miley",,,,23,1,0,0,16,25,9,1,4,5.22,1.45,-9.216,193,-9.199,195,,,,58
"Kyle Hendricks",,,,5.1019,0,0,0,3,5,1,0,1,5.03,1.34,-12.309,223,-9.965,201,243,,,15.5
"Sam Aldegheri","LAA",,,28,1,0,0,21,30,14,2,5,5.52,1.54,-10.033,206,-10.021,202,,,,61.7
"Davis Daniel","CIN",,,4.503,0,0,0,3,5,2,0,1,5.27,1.44,-10.1,208,-10.089,204,,,,8
"Trevor Williams","WSN",,,28,1,0,1,21,31,9,1,5,5.13,1.41,-9.081,190,-10.732,213,219,,,81.1
"Tyler Anderson","LAA",,,98,5,0,0,74,100,41,5,18,5.28,1.42,-11.712,221,-10.871,214,238,,,253.8
"Javier Assad","CHC",,,65,3,0,5,52,63,24,3,8,4.5,1.35,-11.072,215,-11.372,216,245,,,261.8
"Jonathan Cannon","CHW",,,106,5,0,1,76,110,37,5,16,4.88,1.4,-10.809,213,-11.605,218,235,,,331.6
"Martín Pérez","ATL",,,36,2,0,0,26,38,14,2,6,5.08,1.42,-13.119,227,-11.854,219,,,,97.8
"Carlos Carrasco","ATL",,,4.5908,0,0,0,3,5,2,0,1,5.35,1.46,-11.977,222,-12.177,222,,,,8.7
"Tomoyuki Sugano","COL",,,116,5,0,0,75,139,33,5,20,5.7,1.48,-11.005,214,-12.208,223,215,,,287
"Logan Evans","SEA",,,4.2163,0,0,0,3,4,2,0,1,4.35,1.32,-11.314,217,-12.61,224,151,,,8.5
"Andrew Heaney",,,,4.5124,0,0,0,4,5,2,0,1,5,1.35,-12.786,225,-12.73,225,,,,10.1
"Miles Mikolas","WSN",,,141,6,0,0,93,154,35,6,23,5.03,1.34,-13.489,231,-13.337,227,223,,,423.1
"Cal Quantrill","TEX",,,6,0,0,0,5,7,2,0,1,5.06,1.46,-13.473,230,-13.441,228,237,,,17.9
"Carson Palmquist","COL",,,26,1,0,1,23,27,13,1,5,5.64,1.54,-13.681,232,-13.649,231,,,,68.7
"Marcus Stroman",,,,52,3,0,0,35,53,21,3,7,4.85,1.44,-13.107,226,-14.07,232,,,,158.9
"Tanner Gordon","COL",,,60,3,0,1,41,71,14,3,11,5.59,1.43,-14.258,234,-14.234,234,,,,159.1
"Mitchell Parker","WSN",,,51,2,0,1,37,54,18,2,8,5.02,1.4,-14.499,236,-14.445,235,236,,,156.6
"Bailey Falter","KCR",,,72,3,0,4,47,78,25,3,12,5.49,1.43,-14.267,235,-14.607,236,208,,,208.4
"Ben Lively","CLE",,,4.9482,0,0,0,3,5,2,0,1,4.94,1.33,-17.682,242,-15.481,238,,,,11.3
"Austin Gomber","TEX",,,7,0,0,0,5,8,2,0,1,5.23,1.33,-16.829,240,-15.869,239,,,,22.7
"Jack Kochanowicz","LAA",,,55,3,0,1,35,59,21,3,7,4.88,1.45,-17.419,241,-17.611,241,,,,169.5
"Bradley Blalock","MIA",,,26,1,0,1,17,29,11,1,4,5.41,1.51,-17.792,243,-17.753,243,,,,69.8
"Antonio Senzatela","COL",,,96,4,0,6,60,117,36,5,15,5.86,1.61,-18.648,246,-18.432,244,,,,242.7
"Erick Fedde","CHW",,,108,5,0,1,76,112,44,5,16,5.08,1.45,-18.155,244,-18.847,246,228,,,320.2
"Drew Thorpe","CHW",,,42,2,0,0,32,43,16,2,6,4.9,1.4,,,,,,,,135.2
"Luis Medina","ATH",,,74,4,0,1,64,73,36,4,10,4.76,1.47,,,,,216,,,246.8
